insee_com;annee;nb_mutations;nb_maisons;nb_apparts;prop_maison;prop_appart;prix_moyen;prix_m2_moyen;surface_moy;dep_code
75056;2024;24246;84.0;24162.0;100.0;0.0;507698;9674;51;75
77001;2024;17;17.0;0.0;0.0;100.0;339935;2956;122;77
77002;2024;14;14.0;0.0;0.0;100.0;181464;1820;102;77
77003;2024;6;6.0;0.0;0.0;100.0;309300;2662;119;77
77004;2024;1;1.0;0.0;0.0;100.0;347600;4574;76;77
77005;2024;30;22.0;8.0;27.0;73.0;342649;3719;97;77
77006;2024;11;11.0;0.0;0.0;100.0;342082;3398;110;77
77007;2024;2;2.0;0.0;0.0;100.0;275000;2353;118;77
77008;2024;3;3.0;0.0;0.0;100.0;319383;3870;85;77
77009;2024;3;3.0;0.0;0.0;100.0;158333;1603;102;77
77010;2024;3;3.0;0.0;0.0;100.0;173333;2141;83;77
77011;2024;2;2.0;0.0;0.0;100.0;206000;1466;142;77
77012;2024;7;7.0;0.0;0.0;100.0;150929;1604;97;77
77013;2024;3;3.0;0.0;0.0;100.0;371667;2233;165;77
77014;2024;220;32.0;188.0;85.0;15.0;195787;2979;68;77
77015;2024;1;1.0;0.0;0.0;100.0;130000;1857;70;77
77016;2024;6;6.0;0.0;0.0;100.0;127055;2138;70;77
77018;2024;77;41.0;36.0;47.0;53.0;345500;4365;82;77
77019;2024;3;3.0;0.0;0.0;100.0;126000;1398;93;77
77020;2024;4;4.0;0.0;0.0;100.0;219225;1636;137;77
77021;2024;4;4.0;0.0;0.0;100.0;240038;2070;114;77
77022;2024;25;21.0;4.0;16.0;84.0;685806;5110;136;77
77023;2024;8;8.0;0.0;0.0;100.0;194744;2319;88;77
77024;2024;1;1.0;0.0;0.0;100.0;260000;970;268;77
77025;2024;7;7.0;0.0;0.0;100.0;151041;1580;98;77
77026;2024;2;2.0;0.0;0.0;100.0;133000;1622;82;77
77027;2024;10;9.0;1.0;10.0;90.0;123827;1232;97;77
77029;2024;3;3.0;0.0;0.0;100.0;273833;2622;104;77
77030;2024;10;10.0;0.0;0.0;100.0;173030;1852;104;77
77031;2024;6;6.0;0.0;0.0;100.0;376650;2509;150;77
77032;2024;14;13.0;1.0;7.0;93.0;179929;1951;93;77
77033;2024;2;2.0;0.0;0.0;100.0;187500;1248;146;77
77034;2024;4;4.0;0.0;0.0;100.0;243475;2537;103;77
77035;2024;10;10.0;0.0;0.0;100.0;134401;1443;92;77
77037;2024;67;53.0;14.0;21.0;79.0;370903;3969;92;77
77038;2024;5;5.0;0.0;0.0;100.0;670200;3827;181;77
77039;2024;9;8.0;1.0;11.0;89.0;401028;3439;122;77
77040;2024;29;28.0;1.0;3.0;97.0;321145;2872;115;77
77041;2024;4;4.0;0.0;0.0;100.0;320175;2820;118;77
77042;2024;34;34.0;0.0;0.0;100.0;218145;2202;103;77
77043;2024;3;3.0;0.0;0.0;100.0;123933;1796;67;77
77044;2024;13;12.0;1.0;8.0;92.0;267461;2769;97;77
77045;2024;5;5.0;0.0;0.0;100.0;212722;2035;105;77
77046;2024;2;2.0;0.0;0.0;100.0;248400;2968;79;77
77047;2024;13;8.0;5.0;38.0;62.0;277262;3326;82;77
77048;2024;20;17.0;3.0;15.0;85.0;501264;4149;127;77
77049;2024;7;7.0;0.0;0.0;100.0;293143;2588;116;77
77050;2024;4;4.0;0.0;0.0;100.0;110000;1390;92;77
77051;2024;16;16.0;0.0;0.0;100.0;160743;1702;94;77
77052;2024;4;4.0;0.0;0.0;100.0;247000;2072;120;77
77053;2024;218;87.0;131.0;60.0;40.0;234305;3410;72;77
77054;2024;5;5.0;0.0;0.0;100.0;208670;2302;89;77
77055;2024;51;7.0;44.0;86.0;14.0;179017;2845;65;77
77056;2024;6;6.0;0.0;0.0;100.0;210375;1930;104;77
77057;2024;5;5.0;0.0;0.0;100.0;213700;1762;128;77
77058;2024;292;65.0;227.0;78.0;22.0;299239;4255;73;77
77059;2024;8;7.0;1.0;12.0;88.0;436123;4628;98;77
77060;2024;9;9.0;0.0;0.0;100.0;229689;1916;120;77
77061;2024;27;23.0;4.0;15.0;85.0;177724;2284;81;77
77062;2024;5;3.0;2.0;40.0;60.0;419521;4010;112;77
77063;2024;11;11.0;0.0;0.0;100.0;218157;2467;93;77
77065;2024;11;10.0;1.0;9.0;91.0;246409;2738;94;77
77066;2024;1;1.0;0.0;0.0;100.0;248341;2258;110;77
77067;2024;99;85.0;14.0;14.0;86.0;262426;2936;92;77
77068;2024;3;3.0;0.0;0.0;100.0;160000;1350;112;77
77069;2024;27;25.0;2.0;7.0;93.0;325744;3309;101;77
77070;2024;12;12.0;0.0;0.0;100.0;239182;2140;116;77
77071;2024;9;9.0;0.0;0.0;100.0;411205;2929;125;77
77072;2024;6;6.0;0.0;0.0;100.0;141380;1676;96;77
77073;2024;7;7.0;0.0;0.0;100.0;198029;1640;122;77
77075;2024;15;11.0;4.0;27.0;73.0;248575;3147;84;77
77076;2024;7;7.0;0.0;0.0;100.0;208571;1772;122;77
77077;2024;14;12.0;2.0;14.0;86.0;204786;2594;78;77
77078;2024;13;13.0;0.0;0.0;100.0;228900;1941;119;77
77079;2024;45;39.0;6.0;13.0;87.0;208280;2498;84;77
77080;2024;4;4.0;0.0;0.0;100.0;400125;2321;204;77
77081;2024;4;4.0;0.0;0.0;100.0;278250;2942;100;77
77082;2024;8;7.0;1.0;12.0;88.0;188646;2796;80;77
77083;2024;164;72.0;92.0;56.0;44.0;285766;3771;80;77
77084;2024;19;16.0;3.0;16.0;84.0;223211;2682;88;77
77085;2024;39;22.0;17.0;44.0;56.0;330916;3960;85;77
77086;2024;20;20.0;0.0;0.0;100.0;214572;2268;103;77
77087;2024;3;3.0;0.0;0.0;100.0;336000;2461;139;77
77088;2024;22;19.0;3.0;14.0;86.0;251436;2495;103;77
77089;2024;13;13.0;0.0;0.0;100.0;248731;2547;99;77
77090;2024;1;1.0;0.0;0.0;100.0;231000;2243;103;77
77091;2024;3;3.0;0.0;0.0;100.0;342350;2752;126;77
77093;2024;1;1.0;0.0;0.0;100.0;173000;2110;82;77
77094;2024;2;2.0;0.0;0.0;100.0;429450;3336;129;77
77095;2024;23;18.0;5.0;22.0;78.0;320999;3428;97;77
77096;2024;34;30.0;4.0;12.0;88.0;333413;3413;99;77
77098;2024;6;6.0;0.0;0.0;100.0;164750;1834;99;77
77099;2024;42;39.0;3.0;7.0;93.0;166517;1899;93;77
77100;2024;47;46.0;1.0;2.0;98.0;225851;2594;87;77
77101;2024;13;13.0;0.0;0.0;100.0;196787;1995;102;77
77103;2024;4;3.0;1.0;25.0;75.0;248246;3702;76;77
77104;2024;6;6.0;0.0;0.0;100.0;341525;3377;110;77
77106;2024;10;10.0;0.0;0.0;100.0;231140;2258;104;77
77107;2024;32;24.0;8.0;25.0;75.0;231025;2770;89;77
77108;2024;431;179.0;252.0;58.0;42.0;249588;3520;73;77
77109;2024;20;19.0;1.0;5.0;95.0;171106;1895;100;77
77110;2024;2;2.0;0.0;0.0;100.0;132500;1820;73;77
77111;2024;63;18.0;45.0;71.0;29.0;318617;4642;71;77
77112;2024;4;4.0;0.0;0.0;100.0;270138;2278;117;77
77113;2024;9;9.0;0.0;0.0;100.0;285167;2095;134;77
77114;2024;38;28.0;10.0;26.0;74.0;306534;3370;95;77
77115;2024;7;7.0;0.0;0.0;100.0;215732;2185;102;77
77116;2024;11;11.0;0.0;0.0;100.0;178227;1876;92;77
77117;2024;9;6.0;3.0;33.0;67.0;146889;1971;84;77
77118;2024;112;68.0;44.0;39.0;61.0;287476;3577;83;77
77119;2024;1;1.0;0.0;0.0;100.0;264000;2164;122;77
77120;2024;5;5.0;0.0;0.0;100.0;265200;2034;133;77
77121;2024;22;14.0;8.0;36.0;64.0;326760;4028;86;77
77122;2024;190;119.0;71.0;37.0;63.0;247089;3082;82;77
77123;2024;3;3.0;0.0;0.0;100.0;578333;6326;101;77
77124;2024;14;12.0;2.0;14.0;86.0;308912;3751;85;77
77125;2024;17;16.0;1.0;6.0;94.0;291723;3144;94;77
77126;2024;24;24.0;0.0;0.0;100.0;179354;1884;96;77
77127;2024;14;4.0;10.0;71.0;29.0;174150;2820;60;77
77128;2024;16;16.0;0.0;0.0;100.0;330709;3180;114;77
77129;2024;7;7.0;0.0;0.0;100.0;177940;1593;125;77
77130;2024;3;3.0;0.0;0.0;100.0;272800;3035;91;77
77131;2024;170;79.0;91.0;54.0;46.0;190730;2612;77;77
77132;2024;39;31.0;8.0;21.0;79.0;329842;3812;91;77
77133;2024;2;2.0;0.0;0.0;100.0;240960;1350;173;77
77134;2024;2;2.0;0.0;0.0;100.0;133500;2252;59;77
77135;2024;15;14.0;1.0;7.0;93.0;267241;2378;120;77
77136;2024;1;1.0;0.0;0.0;100.0;350000;3302;106;77
77137;2024;4;4.0;0.0;0.0;100.0;193000;1868;110;77
77138;2024;12;11.0;1.0;8.0;92.0;235958;2375;107;77
77139;2024;62;53.0;9.0;15.0;85.0;297126;3414;90;77
77140;2024;6;6.0;0.0;0.0;100.0;222750;1621;141;77
77141;2024;19;10.0;9.0;47.0;53.0;298687;3212;95;77
77142;2024;43;27.0;16.0;37.0;63.0;244528;3153;82;77
77143;2024;32;25.0;7.0;22.0;78.0;238100;2823;88;77
77144;2024;2;2.0;0.0;0.0;100.0;371550;2159;217;77
77145;2024;5;5.0;0.0;0.0;100.0;250440;2914;101;77
77146;2024;13;12.0;1.0;8.0;92.0;412288;3712;111;77
77147;2024;11;11.0;0.0;0.0;100.0;163623;2097;83;77
77148;2024;24;20.0;4.0;17.0;83.0;202875;2129;103;77
77150;2024;2;2.0;0.0;0.0;100.0;142500;1704;88;77
77151;2024;7;7.0;0.0;0.0;100.0;198048;1652;109;77
77152;2024;187;100.0;87.0;47.0;53.0;202324;2832;74;77
77153;2024;118;68.0;50.0;42.0;58.0;232130;3084;78;77
77154;2024;18;17.0;1.0;6.0;94.0;278074;3291;97;77
77155;2024;26;23.0;3.0;12.0;88.0;344374;3507;100;77
77156;2024;10;10.0;0.0;0.0;100.0;189850;2293;85;77
77157;2024;2;1.0;1.0;50.0;50.0;160815;1546;102;77
77158;2024;3;3.0;0.0;0.0;100.0;172833;1729;101;77
77159;2024;26;25.0;1.0;4.0;96.0;183683;1726;110;77
77161;2024;15;15.0;0.0;0.0;100.0;213911;2251;96;77
77162;2024;10;10.0;0.0;0.0;100.0;192304;2277;88;77
77163;2024;1;1.0;0.0;0.0;100.0;299900;1947;154;77
77164;2024;3;3.0;0.0;0.0;100.0;196267;1871;103;77
77165;2024;6;6.0;0.0;0.0;100.0;400717;2781;138;77
77167;2024;4;4.0;0.0;0.0;100.0;150611;1548;95;77
77168;2024;30;26.0;4.0;13.0;87.0;164772;1703;100;77
77169;2024;64;23.0;41.0;64.0;36.0;264366;3672;74;77
77171;2024;50;33.0;17.0;34.0;66.0;261729;3577;78;77
77172;2024;7;7.0;0.0;0.0;100.0;186857;1957;96;77
77173;2024;11;11.0;0.0;0.0;100.0;219395;2243;98;77
77174;2024;5;5.0;0.0;0.0;100.0;162100;1701;100;77
77175;2024;35;35.0;0.0;0.0;100.0;342464;3320;111;77
77176;2024;30;30.0;0.0;0.0;100.0;232048;2600;91;77
77177;2024;5;4.0;1.0;20.0;80.0;352460;3709;98;77
77178;2024;8;7.0;1.0;12.0;88.0;189375;1866;104;77
77179;2024;4;4.0;0.0;0.0;100.0;208243;2070;106;77
77180;2024;4;4.0;0.0;0.0;100.0;319438;3676;92;77
77181;2024;57;19.0;38.0;67.0;33.0;272465;4397;65;77
77182;2024;35;24.0;11.0;31.0;69.0;139869;1848;78;77
77183;2024;114;66.0;48.0;42.0;58.0;171243;2395;76;77
77184;2024;9;9.0;0.0;0.0;100.0;227610;1999;122;77
77185;2024;8;8.0;0.0;0.0;100.0;410191;4029;96;77
77186;2024;216;49.0;167.0;77.0;23.0;372493;4990;74;77
77187;2024;9;9.0;0.0;0.0;100.0;151800;1695;105;77
77188;2024;12;11.0;1.0;8.0;92.0;227379;2856;79;77
77190;2024;2;2.0;0.0;0.0;100.0;178820;1548;133;77
77191;2024;7;7.0;0.0;0.0;100.0;219857;2142;106;77
77192;2024;64;39.0;25.0;39.0;61.0;239506;2944;87;77
77193;2024;2;2.0;0.0;0.0;100.0;245500;2048;116;77
77194;2024;5;5.0;0.0;0.0;100.0;213880;2273;95;77
77195;2024;10;9.0;1.0;10.0;90.0;230757;2925;84;77
77196;2024;11;7.0;4.0;36.0;64.0;290495;3265;93;77
77197;2024;3;3.0;0.0;0.0;100.0;182000;1769;107;77
77198;2024;1;1.0;0.0;0.0;100.0;172950;2471;70;77
77199;2024;10;10.0;0.0;0.0;100.0;220254;3017;74;77
77201;2024;10;9.0;1.0;10.0;90.0;211000;2212;107;77
77202;2024;8;8.0;0.0;0.0;100.0;269714;2705;103;77
77203;2024;13;13.0;0.0;0.0;100.0;327517;2869;119;77
77204;2024;3;3.0;0.0;0.0;100.0;132290;1429;99;77
77205;2024;1;1.0;0.0;0.0;100.0;320000;2319;138;77
77206;2024;1;1.0;0.0;0.0;100.0;215000;1641;131;77
77207;2024;2;2.0;0.0;0.0;100.0;119500;1254;93;77
77208;2024;18;6.0;12.0;67.0;33.0;77167;1254;59;77
77209;2024;7;5.0;2.0;29.0;71.0;347800;3822;92;77
77210;2024;29;29.0;0.0;0.0;100.0;211084;2077;110;77
77211;2024;3;3.0;0.0;0.0;100.0;215403;2168;104;77
77212;2024;2;2.0;0.0;0.0;100.0;163500;3050;56;77
77214;2024;6;6.0;0.0;0.0;100.0;331150;2325;144;77
77215;2024;86;48.0;38.0;44.0;56.0;235866;3244;76;77
77216;2024;9;8.0;1.0;11.0;89.0;280389;2900;100;77
77217;2024;33;26.0;7.0;21.0;79.0;298565;3740;86;77
77218;2024;4;4.0;0.0;0.0;100.0;138695;1370;105;77
77219;2024;34;34.0;0.0;0.0;100.0;305118;3047;102;77
77220;2024;4;4.0;0.0;0.0;100.0;259118;1786;143;77
77221;2024;12;12.0;0.0;0.0;100.0;429018;3481;124;77
77222;2024;53;26.0;27.0;51.0;49.0;199360;2677;77;77
77223;2024;3;3.0;0.0;0.0;100.0;166667;1865;90;77
77225;2024;3;3.0;0.0;0.0;100.0;284097;2541;125;77
77226;2024;24;23.0;1.0;4.0;96.0;254258;2952;92;77
77227;2024;7;7.0;0.0;0.0;100.0;133311;1563;84;77
77228;2024;5;5.0;0.0;0.0;100.0;193330;1576;131;77
77229;2024;19;17.0;2.0;11.0;89.0;300314;2900;111;77
77230;2024;3;3.0;0.0;0.0;100.0;207688;1869;111;77
77231;2024;7;7.0;0.0;0.0;100.0;214565;2434;92;77
77232;2024;11;8.0;3.0;27.0;73.0;263288;2824;93;77
77233;2024;3;3.0;0.0;0.0;100.0;255000;2327;112;77
77234;2024;3;3.0;0.0;0.0;100.0;497233;2786;184;77
77235;2024;5;5.0;0.0;0.0;100.0;219600;2232;126;77
77236;2024;5;5.0;0.0;0.0;100.0;181600;1900;97;77
77237;2024;6;6.0;0.0;0.0;100.0;317667;4230;78;77
77238;2024;32;25.0;7.0;22.0;78.0;185342;1920;101;77
77239;2024;11;10.0;1.0;9.0;91.0;192755;1979;106;77
77240;2024;19;19.0;0.0;0.0;100.0;181474;2102;95;77
77241;2024;13;12.0;1.0;8.0;92.0;240192;3027;80;77
77242;2024;8;8.0;0.0;0.0;100.0;225092;1722;132;77
77243;2024;240;89.0;151.0;63.0;37.0;278828;3814;75;77
77244;2024;7;6.0;1.0;14.0;86.0;192929;2231;94;77
77245;2024;4;4.0;0.0;0.0;100.0;300075;2184;138;77
77246;2024;4;4.0;0.0;0.0;100.0;177500;1724;110;77
77247;2024;4;4.0;0.0;0.0;100.0;143594;1378;114;77
77248;2024;7;7.0;0.0;0.0;100.0;379829;3386;107;77
77249;2024;79;73.0;6.0;8.0;92.0;381409;3474;111;77
77250;2024;1;1.0;0.0;0.0;100.0;147000;1289;114;77
77251;2024;114;39.0;75.0;66.0;34.0;227245;3316;70;77
77252;2024;9;9.0;0.0;0.0;100.0;410039;2968;138;77
77253;2024;4;4.0;0.0;0.0;100.0;244850;1996;122;77
77254;2024;11;11.0;0.0;0.0;100.0;337493;2959;116;77
77255;2024;12;12.0;0.0;0.0;100.0;266433;2658;102;77
77256;2024;5;5.0;0.0;0.0;100.0;192630;1813;104;77
77257;2024;36;24.0;12.0;33.0;67.0;165376;2161;79;77
77258;2024;87;11.0;76.0;87.0;13.0;224632;3543;67;77
77259;2024;26;18.0;8.0;31.0;69.0;226853;3292;77;77
77260;2024;10;9.0;1.0;10.0;90.0;169500;1933;90;77
77261;2024;19;19.0;0.0;0.0;100.0;176581;1771;99;77
77262;2024;4;4.0;0.0;0.0;100.0;199500;1440;140;77
77263;2024;6;6.0;0.0;0.0;100.0;184017;1673;112;77
77264;2024;22;22.0;0.0;0.0;100.0;290176;2463;125;77
77265;2024;10;10.0;0.0;0.0;100.0;200455;2056;106;77
77266;2024;5;4.0;1.0;20.0;80.0;243940;2957;91;77
77267;2024;2;2.0;0.0;0.0;100.0;197480;1976;101;77
77268;2024;73;34.0;39.0;53.0;47.0;404943;4788;85;77
77269;2024;20;15.0;5.0;25.0;75.0;222811;2966;78;77
77270;2024;7;7.0;0.0;0.0;100.0;254764;2707;103;77
77272;2024;7;7.0;0.0;0.0;100.0;170817;1764;101;77
77273;2024;8;8.0;0.0;0.0;100.0;292169;3086;99;77
77274;2024;6;5.0;1.0;17.0;83.0;191167;2522;76;77
77275;2024;3;3.0;0.0;0.0;100.0;164000;1395;123;77
77276;2024;29;22.0;7.0;24.0;76.0;255046;2973;95;77
77277;2024;14;11.0;3.0;21.0;79.0;267850;2773;101;77
77278;2024;6;6.0;0.0;0.0;100.0;288567;2459;128;77
77279;2024;7;7.0;0.0;0.0;100.0;333284;3008;105;77
77280;2024;12;11.0;1.0;8.0;92.0;224367;2318;106;77
77281;2024;7;7.0;0.0;0.0;100.0;323429;2649;123;77
77283;2024;7;7.0;0.0;0.0;100.0;203589;2495;82;77
77284;2024;484;80.0;404.0;83.0;17.0;178644;2912;65;77
77285;2024;125;45.0;80.0;64.0;36.0;173943;2122;83;77
77286;2024;3;3.0;0.0;0.0;100.0;231000;1734;130;77
77287;2024;2;2.0;0.0;0.0;100.0;174500;1602;112;77
77288;2024;396;70.0;326.0;82.0;18.0;157000;2743;60;77
77289;2024;4;4.0;0.0;0.0;100.0;138375;1152;131;77
77290;2024;10;10.0;0.0;0.0;100.0;143799;2652;55;77
77291;2024;8;8.0;0.0;0.0;100.0;195625;2834;70;77
77292;2024;11;8.0;3.0;27.0;73.0;299959;3456;90;77
77293;2024;10;10.0;0.0;0.0;100.0;234284;3048;83;77
77294;2024;136;109.0;27.0;20.0;80.0;272403;3638;81;77
77295;2024;12;11.0;1.0;8.0;92.0;237466;2719;91;77
77296;2024;136;70.0;66.0;49.0;51.0;219856;3122;72;77
77297;2024;1;1.0;0.0;0.0;100.0;130000;929;140;77
77298;2024;3;3.0;0.0;0.0;100.0;164000;1524;113;77
77300;2024;5;5.0;0.0;0.0;100.0;228023;2686;91;77
77301;2024;3;3.0;0.0;0.0;100.0;86000;1262;86;77
77302;2024;25;25.0;0.0;0.0;100.0;248117;2630;95;77
77303;2024;2;2.0;0.0;0.0;100.0;185000;1265;146;77
77305;2024;116;27.0;89.0;77.0;23.0;122026;2106;60;77
77306;2024;2;2.0;0.0;0.0;100.0;347625;2668;131;77
77307;2024;170;34.0;136.0;80.0;20.0;264260;4410;64;77
77308;2024;12;11.0;1.0;8.0;92.0;294820;2968;99;77
77309;2024;14;14.0;0.0;0.0;100.0;229393;2933;80;77
77310;2024;4;4.0;0.0;0.0;100.0;193125;1826;109;77
77311;2024;19;19.0;0.0;0.0;100.0;166517;1899;86;77
77312;2024;34;31.0;3.0;9.0;91.0;287267;2893;103;77
77313;2024;6;6.0;0.0;0.0;100.0;210000;1769;128;77
77315;2024;50;43.0;7.0;14.0;86.0;313089;3620;91;77
77316;2024;142;114.0;28.0;20.0;80.0;233279;2773;87;77
77317;2024;45;28.0;17.0;38.0;62.0;193989;2404;82;77
77318;2024;13;11.0;2.0;15.0;85.0;232169;2930;87;77
77320;2024;57;53.0;4.0;7.0;93.0;236522;2624;94;77
77321;2024;8;8.0;0.0;0.0;100.0;166521;1968;86;77
77322;2024;28;25.0;3.0;11.0;89.0;305820;2932;108;77
77323;2024;11;6.0;5.0;45.0;55.0;302630;2981;98;77
77325;2024;3;3.0;0.0;0.0;100.0;113000;1304;90;77
77326;2024;63;44.0;19.0;30.0;70.0;243708;2993;84;77
77327;2024;67;56.0;11.0;16.0;84.0;188699;2340;85;77
77328;2024;2;2.0;0.0;0.0;100.0;228000;2309;106;77
77329;2024;7;7.0;0.0;0.0;100.0;259679;2074;130;77
77330;2024;56;49.0;7.0;12.0;88.0;265298;2882;99;77
77331;2024;6;3.0;3.0;50.0;50.0;126167;1799;68;77
